Date,City,Weather Condition,Temperature,Wind Force and Direction
2011-02-17,beijing,晴/晴,9℃/-2℃,无持续风向≤3级/北风3-4级
2011-02-18,beijing,多云/晴,3℃/-8℃,北风3-4级/无持续风向≤3级
2011-02-19,beijing,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-02-20,beijing,晴/多云,10℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-02-21,beijing,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011-02-22,beijing,雾/多云,9℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-02-23,beijing,多云/晴,9℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-02-24,beijing,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011-02-25,beijing,晴/雨夹雪,7℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011-02-26,beijing,小雪/小雪,2℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-02-27,beijing,小雪/阴,2℃/-5℃,无持续风向≤3级/无持续风向≤3级
2011-02-28,beijing,晴/晴,6℃/-4℃,无持续风向≤3级/北风3-4级
2011-03-01,beijing,多云/晴,5℃/-3℃,无持续风向≤3级/无持续风向≤3级
2011-03-02,beijing,晴/晴,6℃/-2℃,无持续风向≤3级/北风3-4级
2011-03-03,beijing,晴/晴,9℃/-4℃,北风3-4级/无持续风向≤3级
2011-03-04,beijing,晴/多云,11℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-03-05,beijing,晴/晴,13℃/1℃,无持续风向≤3级/北风3-4级
2011-03-06,beijing,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
2011-03-07,beijing,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级
2011-03-08,beijing,晴/晴,10℃/-1℃,北风3-4级/北风3-4级
2011-03-09,beijing,晴/晴,11℃/-1℃,北风3-4级/无持续风向≤3级
2011-03-10,beijing,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-03-11,beijing,多云/晴,17℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-03-12,beijing,晴/阴,19℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-13,beijing,多云/晴,17℃/3℃,北风4-5级/北风4-5级
2011-03-14,beijing,多云/多云,9℃/1℃,北风3-4级/北风3-4级
2011-03-15,beijing,晴/晴,9℃/-2℃,北风4-5级/北风3-4级
2011-03-16,beijing,晴/晴,13℃/0℃,无持续风向≤3级/无持续风向≤3级
2011-03-17,beijing,晴/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-03-18,beijing,多云/晴,14℃/0℃,北风4-5级/北风3-4级
2011-03-19,beijing,多云/多云,13℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-03-20,beijing,阴/阴,11℃/3℃,无持续风向≤3级/北风4-5级
2011-03-21,beijing,多云/晴,8℃/-1℃,北风4-5级/北风3-4级
2011-03-22,beijing,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级
2011-03-23,beijing,晴/阴,11℃/1℃,北风3-4级/北风4-5级
2011-03-24,beijing,晴/晴,12℃/0℃,北风4-5级/无持续风向≤3级
2011-03-25,beijing,晴/晴,12℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-03-26,beijing,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-03-27,beijing,晴/多云,16℃/2℃,无持续风向≤3级/无持续风向≤3级
2011-03-28,beijing,晴/晴,17℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-03-29,beijing,晴/晴,19℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-03-30,beijing,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-31,beijing,多云/小雨,22℃/7℃,无持续风向≤3级/东北风3-4级
2011-04-01,beijing,小雨/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-04-02,beijing,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-04-03,beijing,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-04-04,beijing,晴/晴,20℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-04-05,beijing,多云/阴,19℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-04-06,beijing,阴/多云,19℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-04-07,beijing,多云/晴,19℃/5℃,北风3-4级/北风3-4级
2011-04-08,beijing,晴/多云,20℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-04-09,beijing,阴/小雨,21℃/11℃,无持续风向≤3级/北风3-4级
2011-04-10,beijing,阴/晴,16℃/4℃,北风3-4级/无持续风向≤3级
2011-04-11,beijing,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-04-12,beijing,晴/晴,26℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-04-13,beijing,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-04-14,beijing,晴/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-04-15,beijing,晴/晴,25℃/8℃,北风3-4级/无持续风向≤3级
2011-04-16,beijing,晴/浮尘,25℃/14℃,西南风3-4级/北风3-4级
2011-04-17,beijing,晴/晴,19℃/9℃,北风5-6级/北风4-5级
2011-04-18,beijing,晴/晴,21℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-04-19,beijing,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-20,beijing,多云/小雨,25℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-21,beijing,小雨/晴,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-04-22,beijing,阴/阴,20℃/8℃,北风3-4级/无持续风向≤3级
2011-04-23,beijing,阵雨/晴,18℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-04-24,beijing,晴/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-25,beijing,阴/阵雨,18℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-04-26,beijing,阵雨/晴,17℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-04-27,beijing,阴/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-04-28,beijing,晴/阴,24℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-04-29,beijing,阵雨/阵雨,22℃/12℃,无持续风向≤3级/北风3-4级
2011-04-30,beijing,阴/多云,21℃/13℃,北风5-6级/北风4-5级
2011-05-01,beijing,晴/多云,25℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-05-02,beijing,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-05-03,beijing,晴/小雨,24℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-05-04,beijing,阵雨/阵雨,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-05-05,beijing,多云/晴,23℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-05-06,beijing,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-05-07,beijing,晴/阴,26℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-08,beijing,中雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-05-09,beijing,多云/阴,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-05-10,beijing,晴/多云,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-05-11,beijing,多云/浮尘,28℃/12℃,北风3-4级/北风5-6级
2011-05-12,beijing,晴/晴,23℃/13℃,北风5-6级/北风4-5级
2011-05-13,beijing,晴/晴,27℃/15℃,北风3-4级/北风4-5级
2011-05-14,beijing,晴/多云,30℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-15,beijing,多云/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-05-16,beijing,晴/晴,28℃/14℃,南风3-4级/无持续风向≤3级
2011-05-17,beijing,阴/阴,29℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-05-18,beijing,雷阵雨/阴,31℃/17℃,无持续风向≤3级/北风4-5级
2011-05-19,beijing,晴/阴,25℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-05-20,beijing,多云/多云,23℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-05-21,beijing,晴/晴,26℃/12℃,北风3-4级/无持续风向≤3级
2011-05-22,beijing,晴/晴,29℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-05-23,beijing,晴/晴,31℃/16℃,南风3-4级/无持续风向≤3级
2011-05-24,beijing,晴/多云,28℃/18℃,南风3-4级/无持续风向≤3级
2011-05-25,beijing,多云/多云,27℃/18℃,南风3-4级/无持续风向≤3级
2011-05-26,beijing,阵雨/阵雨,28℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-05-27,beijing,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-05-28,beijing,晴/多云,33℃/21℃,南风3-4级/无持续风向≤3级
2011-05-29,beijing,雷阵雨/雷阵雨,28℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-05-30,beijing,多云/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-05-31,beijing,多云/多云,29℃/18℃,北风3-4级/无持续风向≤3级
2011-06-01,beijing,晴/晴,32℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-06-02,beijing,多云/阴,35℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-03,beijing,晴/晴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-06-04,beijing,多云/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-05,beijing,阴/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-06,beijing,雷阵雨/多云,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-06-07,beijing,多云/雷阵雨,36℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-08,beijing,多云/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-09,beijing,多云/多云,34℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-10,beijing,雷阵雨/雷阵雨,31℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-06-11,beijing,雷阵雨/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-06-12,beijing,晴/晴,35℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-06-13,beijing,晴/多云,35℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-14,beijing,多云/多云,33℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-15,beijing,雷阵雨/中雨,32℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-06-16,beijing,雷阵雨/雷阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-06-17,beijing,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-18,beijing,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-19,beijing,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-20,beijing,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-21,beijing,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-06-22,beijing,阵雨/阵雨,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-06-23,beijing,中雨/大雨,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-06-24,beijing,阵雨/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-06-25,beijing,多云/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-06-26,beijing,晴/多云,32℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-06-27,beijing,多云/阴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-28,beijing,晴/晴,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-06-29,beijing,晴/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-06-30,beijing,雷阵雨/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-07-01,beijing,中到大雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-02,beijing,中雨/阴,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-07-03,beijing,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-04,beijing,晴/阴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-07-05,beijing,阴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-06,beijing,阴/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-07,beijing,雷阵雨/阴,33℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-07-08,beijing,多云/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-09,beijing,晴/多云,35℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-10,beijing,阵雨/阴,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-07-11,beijing,多云/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-12,beijing,雷阵雨/雷阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-07-13,beijing,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-07-14,beijing,雷阵雨/雷阵雨,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-07-15,beijing,雷阵雨/雷阵雨,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-16,beijing,多云/雷阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-17,beijing,小到中雨/中雨,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-07-18,beijing,雷阵雨/多云,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-07-19,beijing,雷阵雨/小到中雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-07-20,beijing,小到中雨/雷阵雨,29℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-07-21,beijing,雷阵雨/雷阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-22,beijing,雷阵雨/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-07-23,beijing,雾/雾,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-24,beijing,大雨/暴雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-25,beijing,小雨/多云,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-26,beijing,晴/雷阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-27,beijing,多云/阴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-07-28,beijing,多云/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2011-07-29,beijing,大雨/中雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-07-30,beijing,阴/多云,33℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-07-31,beijing,晴/多云,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-01,beijing,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-02,beijing,多云/阴,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-03,beijing,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-08-04,beijing,晴/晴,33℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-08-05,beijing,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-06,beijing,雷阵雨/阵雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-08-07,beijing,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-08,beijing,多云/晴,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-09,beijing,雷阵雨/雷阵雨,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-10,beijing,阴/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-11,beijing,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-12,beijing,多云/晴,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2011-08-13,beijing,阴/阴,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2011-08-14,beijing,小到中雨/大到暴雨,30℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-08-15,beijing,中雨/小到中雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-08-16,beijing,阴/晴,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-08-17,beijing,雷阵雨/阵雨,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2011-08-18,beijing,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-19,beijing,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-20,beijing,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-08-21,beijing,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-08-22,beijing,晴/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-23,beijing,多云/多云,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-24,beijing,多云/雷阵雨,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-25,beijing,阵雨/阵雨,27℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-26,beijing,雷阵雨/雷阵雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-27,beijing,雷阵雨/阴,28℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-08-28,beijing,多云/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-08-29,beijing,晴/多云,32℃/21℃,无持续风向≤3级/无持续风向≤3级
2011-08-30,beijing,晴/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2011-08-31,beijing,雷阵雨/中雨,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-01,beijing,多云/晴,28℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-09-02,beijing,多云/晴,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-03,beijing,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-09-04,beijing,晴/晴,29℃/19℃,无持续风向≤3级/无持续风向≤3级
2011-09-05,beijing,晴/晴,30℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-06,beijing,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2011-09-07,beijing,阴/阴,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-09-08,beijing,多云/阵雨,24℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-09-09,beijing,多云/小雨,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-09-10,beijing,小雨/阴,19℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-09-11,beijing,多云/多云,25℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-09-12,beijing,阴/阴,24℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-09-13,beijing,多云/雾,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-09-14,beijing,多云/多云,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2011-09-15,beijing,多云/阵雨,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-09-16,beijing,小雨/阵雨,21℃/14℃,无持续风向≤3级/北风3-4级
2011-09-17,beijing,阴/晴,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-09-18,beijing,晴/多云,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-09-19,beijing,晴/晴,22℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-09-20,beijing,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-09-21,beijing,晴/晴,27℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-09-22,beijing,晴/晴,28℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-09-23,beijing,晴/晴,28℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-09-24,beijing,晴/晴,28℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-09-25,beijing,晴/晴,27℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-09-26,beijing,晴/多云,26℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-09-27,beijing,多云/多云,25℃/17℃,无持续风向≤3级/无持续风向≤3级
2011-09-28,beijing,小雨/多云,22℃/16℃,无持续风向≤3级/北风3-4级
2011-09-29,beijing,晴/晴,22℃/11℃,北风3-4级/无持续风向≤3级
2011-09-30,beijing,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-01,beijing,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-02,beijing,晴/晴,21℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-10-03,beijing,晴/晴,21℃/8℃,无持续风向微风/无持续风向微风
2011-10-04,beijing,多云/多云,21℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-10-05,beijing,晴/晴,25℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-06,beijing,晴/晴,24℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-07,beijing,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-10-08,beijing,多云/多云,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-09,beijing,多云/雾,23℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-10-10,beijing,晴/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-10-11,beijing,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-10-12,beijing,阴/小到中雨,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-10-13,beijing,阵雨/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-10-14,beijing,多云/多云,19℃/10℃,北风3-4级/北风3-4级
2011-10-15,beijing,晴/晴,20℃/10℃,北风4-5级/北风3-4级
2011-10-16,beijing,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-10-17,beijing,晴/晴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-10-18,beijing,晴/晴,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-10-19,beijing,多云/多云,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-10-20,beijing,雾/雾,20℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-10-21,beijing,雾/雾,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-10-22,beijing,晴/阵雨,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-10-23,beijing,阵雨/多云,16℃/5℃,北风4-5级/北风4-5级
2011-10-24,beijing,晴/晴,15℃/2℃,北风3-4级/无持续风向≤3级
2011-10-25,beijing,晴/多云,16℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-10-26,beijing,小雨/阴,13℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-10-27,beijing,晴/晴,16℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-10-28,beijing,晴/多云,16℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-10-29,beijing,晴/雾,18℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-10-30,beijing,多云/雾,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-10-31,beijing,多云/小雨,15℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-11-01,beijing,小雨/阴,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-11-02,beijing,晴/阴,16℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-11-03,beijing,阴/小雨,14℃/9℃,无持续风向≤3级/无持续风向≤3级
