Date,City,Weather Condition,Temperature,Wind Force and Direction,Day Weather,Night Weather,Day Temp,Night Temp,Day Wind Direction,Night Wind Direction,Day Wind Force,Night Wind Force
2011-01-31,beijing,多云/雾,4℃/-2℃,无持续风向≤3级/无持续风向≤3级,多云,雾,4.0,-2.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-01,beijing,晴/晴,4℃/-8℃,北风3-4级/无持续风向≤3级,晴,晴,4.0,-8.0,北风,无持续风向,3-4级,≤3级
2011-02-02,beijing,晴/多云,9℃/-4℃,北风4-5级/北风4-5级,晴,多云,9.0,-4.0,北风,北风,4-5级,4-5级
2011-02-03,beijing,小雪/雾,0℃/-5℃,无持续风向≤3级/北风3-4级,小雪,雾,0.0,-5.0,无持续风向,北风,≤3级,3-4级
2011-02-04,beijing,晴/小雪,2℃/-7℃,北风3-4级/无持续风向≤3级,晴,小雪,2.0,-7.0,北风,无持续风向,3-4级,≤3级
2011-02-05,beijing,晴/阴,1℃/-5℃,无持续风向≤3级/无持续风向≤3级,晴,阴,1.0,-5.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-06,beijing,多云/阴,9℃/-1℃,无持续风向≤3级/北风3-4级,多云,阴,9.0,-1.0,无持续风向,北风,≤3级,3-4级
2011-02-07,beijing,晴/晴,8℃/-4℃,无持续风向≤3级/无持续风向≤3级,晴,晴,8.0,-4.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-08,beijing,晴/多云,-2℃/-9℃,无持续风向≤3级/无持续风向≤3级,晴,多云,-2.0,-9.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-09,beijing,多云/多云,0℃/-6℃,无持续风向≤3级/无持续风向≤3级,多云,多云,0.0,-6.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-10,beijing,晴/晴,0℃/-10℃,无持续风向≤3级/无持续风向≤3级,晴,晴,0.0,-10.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-11,beijing,晴/晴,1℃/-10℃,北风3-4级/无持续风向≤3级,晴,晴,1.0,-10.0,北风,无持续风向,3-4级,≤3级
2011-02-12,beijing,阴/小雪,-3℃/-6℃,无持续风向≤3级/无持续风向≤3级,阴,小雪,-3.0,-6.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-13,beijing,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级,晴,晴,10.0,-3.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-14,beijing,晴/晴,1℃/-7℃,北风4-5级/无持续风向≤3级,晴,晴,1.0,-7.0,北风,无持续风向,4-5级,≤3级
2011-02-15,beijing,晴/多云,4℃/-6℃,无持续风向≤3级/无持续风向≤3级,晴,多云,4.0,-6.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-16,beijing,霾/多云,5℃/-4℃,无持续风向≤3级/无持续风向≤3级,霾,多云,5.0,-4.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-17,beijing,晴/晴,9℃/-2℃,无持续风向≤3级/北风3-4级,晴,晴,9.0,-2.0,无持续风向,北风,≤3级,3-4级
2011-02-18,beijing,多云/晴,3℃/-8℃,北风3-4级/无持续风向≤3级,多云,晴,3.0,-8.0,北风,无持续风向,3-4级,≤3级
2011-02-19,beijing,晴/晴,10℃/-3℃,无持续风向≤3级/无持续风向≤3级,晴,晴,10.0,-3.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-20,beijing,晴/多云,10℃/-3℃,无持续风向≤3级/无持续风向≤3级,晴,多云,10.0,-3.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-21,beijing,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,10.0,-1.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-22,beijing,雾/多云,9℃/0℃,无持续风向≤3级/无持续风向≤3级,雾,多云,9.0,0.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-23,beijing,多云/晴,9℃/3℃,无持续风向≤3级/无持续风向≤3级,多云,晴,9.0,3.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-24,beijing,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,10.0,-1.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-25,beijing,晴/雨夹雪,7℃/-1℃,无持续风向≤3级/无持续风向≤3级,晴,雨夹雪,7.0,-1.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-26,beijing,小雪/小雪,2℃/-3℃,无持续风向≤3级/无持续风向≤3级,小雪,小雪,2.0,-3.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-27,beijing,小雪/阴,2℃/-5℃,无持续风向≤3级/无持续风向≤3级,小雪,阴,2.0,-5.0,无持续风向,无持续风向,≤3级,≤3级
2011-02-28,beijing,晴/晴,6℃/-4℃,无持续风向≤3级/北风3-4级,晴,晴,6.0,-4.0,无持续风向,北风,≤3级,3-4级
2011-03-01,beijing,多云/晴,5℃/-3℃,无持续风向≤3级/无持续风向≤3级,多云,晴,5.0,-3.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-02,beijing,晴/晴,6℃/-2℃,无持续风向≤3级/北风3-4级,晴,晴,6.0,-2.0,无持续风向,北风,≤3级,3-4级
2011-03-03,beijing,晴/晴,9℃/-4℃,北风3-4级/无持续风向≤3级,晴,晴,9.0,-4.0,北风,无持续风向,3-4级,≤3级
2011-03-04,beijing,晴/多云,11℃/0℃,无持续风向≤3级/无持续风向≤3级,晴,多云,11.0,0.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-05,beijing,晴/晴,13℃/1℃,无持续风向≤3级/北风3-4级,晴,晴,13.0,1.0,无持续风向,北风,≤3级,3-4级
2011-03-06,beijing,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级,晴,晴,10.0,-1.0,北风,无持续风向,3-4级,≤3级
2011-03-07,beijing,晴/晴,10℃/-1℃,北风3-4级/无持续风向≤3级,晴,晴,10.0,-1.0,北风,无持续风向,3-4级,≤3级
2011-03-08,beijing,晴/晴,10℃/-1℃,北风3-4级/北风3-4级,晴,晴,10.0,-1.0,北风,北风,3-4级,3-4级
2011-03-09,beijing,晴/晴,11℃/-1℃,北风3-4级/无持续风向≤3级,晴,晴,11.0,-1.0,北风,无持续风向,3-4级,≤3级
2011-03-10,beijing,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,15.0,1.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-11,beijing,多云/晴,17℃/3℃,无持续风向≤3级/无持续风向≤3级,多云,晴,17.0,3.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-12,beijing,晴/阴,19℃/7℃,无持续风向≤3级/无持续风向≤3级,晴,阴,19.0,7.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-13,beijing,多云/晴,17℃/3℃,北风4-5级/北风4-5级,多云,晴,17.0,3.0,北风,北风,4-5级,4-5级
2011-03-14,beijing,多云/多云,9℃/1℃,北风3-4级/北风3-4级,多云,多云,9.0,1.0,北风,北风,3-4级,3-4级
2011-03-15,beijing,晴/晴,9℃/-2℃,北风4-5级/北风3-4级,晴,晴,9.0,-2.0,北风,北风,4-5级,3-4级
2011-03-16,beijing,晴/晴,13℃/0℃,无持续风向≤3级/无持续风向≤3级,晴,晴,13.0,0.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-17,beijing,晴/多云,16℃/5℃,无持续风向≤3级/无持续风向≤3级,晴,多云,16.0,5.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-18,beijing,多云/晴,14℃/0℃,北风4-5级/北风3-4级,多云,晴,14.0,0.0,北风,北风,4-5级,3-4级
2011-03-19,beijing,多云/多云,13℃/3℃,无持续风向≤3级/无持续风向≤3级,多云,多云,13.0,3.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-20,beijing,阴/阴,11℃/3℃,无持续风向≤3级/北风4-5级,阴,阴,11.0,3.0,无持续风向,北风,≤3级,4-5级
2011-03-21,beijing,多云/晴,8℃/-1℃,北风4-5级/北风3-4级,多云,晴,8.0,-1.0,北风,北风,4-5级,3-4级
2011-03-22,beijing,晴/晴,10℃/-1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,10.0,-1.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-23,beijing,晴/阴,11℃/1℃,北风3-4级/北风4-5级,晴,阴,11.0,1.0,北风,北风,3-4级,4-5级
2011-03-24,beijing,晴/晴,12℃/0℃,北风4-5级/无持续风向≤3级,晴,晴,12.0,0.0,北风,无持续风向,4-5级,≤3级
2011-03-25,beijing,晴/晴,12℃/1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,12.0,1.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-26,beijing,晴/晴,15℃/1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,15.0,1.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-27,beijing,晴/多云,16℃/2℃,无持续风向≤3级/无持续风向≤3级,晴,多云,16.0,2.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-28,beijing,晴/晴,17℃/4℃,无持续风向≤3级/无持续风向≤3级,晴,晴,17.0,4.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-29,beijing,晴/晴,19℃/4℃,无持续风向≤3级/无持续风向≤3级,晴,晴,19.0,4.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-30,beijing,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级,晴,晴,22.0,7.0,无持续风向,无持续风向,≤3级,≤3级
2011-03-31,beijing,多云/小雨,22℃/7℃,无持续风向≤3级/东北风3-4级,多云,小雨,22.0,7.0,无持续风向,东北风,≤3级,3-4级
2011-04-01,beijing,小雨/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级,小雨,小雨,10.0,4.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-02,beijing,晴/晴,13℃/1℃,无持续风向≤3级/无持续风向≤3级,晴,晴,13.0,1.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-03,beijing,晴/晴,16℃/3℃,无持续风向≤3级/无持续风向≤3级,晴,晴,16.0,3.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-04,beijing,晴/晴,20℃/5℃,无持续风向≤3级/无持续风向≤3级,晴,晴,20.0,5.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-05,beijing,多云/阴,19℃/9℃,无持续风向≤3级/无持续风向≤3级,多云,阴,19.0,9.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-06,beijing,阴/多云,19℃/8℃,无持续风向≤3级/无持续风向≤3级,阴,多云,19.0,8.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-07,beijing,多云/晴,19℃/5℃,北风3-4级/北风3-4级,多云,晴,19.0,5.0,北风,北风,3-4级,3-4级
2011-04-08,beijing,晴/多云,20℃/7℃,无持续风向≤3级/无持续风向≤3级,晴,多云,20.0,7.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-09,beijing,阴/小雨,21℃/11℃,无持续风向≤3级/北风3-4级,阴,小雨,21.0,11.0,无持续风向,北风,≤3级,3-4级
2011-04-10,beijing,阴/晴,16℃/4℃,北风3-4级/无持续风向≤3级,阴,晴,16.0,4.0,北风,无持续风向,3-4级,≤3级
2011-04-11,beijing,晴/晴,22℃/7℃,无持续风向≤3级/无持续风向≤3级,晴,晴,22.0,7.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-12,beijing,晴/晴,26℃/9℃,无持续风向≤3级/无持续风向≤3级,晴,晴,26.0,9.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-13,beijing,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级,晴,多云,26.0,12.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-14,beijing,晴/多云,28℃/15℃,无持续风向≤3级/无持续风向≤3级,晴,多云,28.0,15.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-15,beijing,晴/晴,25℃/8℃,北风3-4级/无持续风向≤3级,晴,晴,25.0,8.0,北风,无持续风向,3-4级,≤3级
2011-04-16,beijing,晴/浮尘,25℃/14℃,西南风3-4级/北风3-4级,晴,浮尘,25.0,14.0,西南风,北风,3-4级,3-4级
2011-04-17,beijing,晴/晴,19℃/9℃,北风5-6级/北风4-5级,晴,晴,19.0,9.0,北风,北风,5-6级,4-5级
2011-04-18,beijing,晴/晴,21℃/8℃,无持续风向≤3级/无持续风向≤3级,晴,晴,21.0,8.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-19,beijing,晴/晴,24℃/11℃,无持续风向≤3级/无持续风向≤3级,晴,晴,24.0,11.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-20,beijing,多云/小雨,25℃/14℃,无持续风向≤3级/无持续风向≤3级,多云,小雨,25.0,14.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-21,beijing,小雨/晴,17℃/7℃,无持续风向≤3级/无持续风向≤3级,小雨,晴,17.0,7.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-22,beijing,阴/阴,20℃/8℃,北风3-4级/无持续风向≤3级,阴,阴,20.0,8.0,北风,无持续风向,3-4级,≤3级
2011-04-23,beijing,阵雨/晴,18℃/9℃,无持续风向≤3级/无持续风向≤3级,阵雨,晴,18.0,9.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-24,beijing,晴/多云,22℃/11℃,无持续风向≤3级/无持续风向≤3级,晴,多云,22.0,11.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-25,beijing,阴/阵雨,18℃/9℃,无持续风向≤3级/无持续风向≤3级,阴,阵雨,18.0,9.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-26,beijing,阵雨/晴,17℃/8℃,无持续风向≤3级/无持续风向≤3级,阵雨,晴,17.0,8.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-27,beijing,阴/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级,阴,多云,23.0,9.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-28,beijing,晴/阴,24℃/12℃,无持续风向≤3级/无持续风向≤3级,晴,阴,24.0,12.0,无持续风向,无持续风向,≤3级,≤3级
2011-04-29,beijing,阵雨/阵雨,22℃/12℃,无持续风向≤3级/北风3-4级,阵雨,阵雨,22.0,12.0,无持续风向,北风,≤3级,3-4级
2011-04-30,beijing,阴/多云,21℃/13℃,北风5-6级/北风4-5级,阴,多云,21.0,13.0,北风,北风,5-6级,4-5级
2011-05-01,beijing,晴/多云,25℃/13℃,无持续风向≤3级/无持续风向≤3级,晴,多云,25.0,13.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-02,beijing,晴/晴,25℃/11℃,无持续风向≤3级/无持续风向≤3级,晴,晴,25.0,11.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-03,beijing,晴/小雨,24℃/14℃,无持续风向≤3级/无持续风向≤3级,晴,小雨,24.0,14.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-04,beijing,阵雨/阵雨,19℃/13℃,无持续风向≤3级/无持续风向≤3级,阵雨,阵雨,19.0,13.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-05,beijing,多云/晴,23℃/13℃,无持续风向≤3级/无持续风向≤3级,多云,晴,23.0,13.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-06,beijing,晴/多云,26℃/12℃,无持续风向≤3级/无持续风向≤3级,晴,多云,26.0,12.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-07,beijing,晴/阴,26℃/15℃,无持续风向≤3级/无持续风向≤3级,晴,阴,26.0,15.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-08,beijing,中雨/小雨,19℃/12℃,无持续风向≤3级/无持续风向≤3级,中雨,小雨,19.0,12.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-09,beijing,多云/阴,26℃/16℃,无持续风向≤3级/无持续风向≤3级,多云,阴,26.0,16.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-10,beijing,晴/多云,26℃/13℃,无持续风向≤3级/无持续风向≤3级,晴,多云,26.0,13.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-11,beijing,多云/浮尘,28℃/12℃,北风3-4级/北风5-6级,多云,浮尘,28.0,12.0,北风,北风,3-4级,5-6级
2011-05-12,beijing,晴/晴,23℃/13℃,北风5-6级/北风4-5级,晴,晴,23.0,13.0,北风,北风,5-6级,4-5级
2011-05-13,beijing,晴/晴,27℃/15℃,北风3-4级/北风4-5级,晴,晴,27.0,15.0,北风,北风,3-4级,4-5级
2011-05-14,beijing,晴/多云,30℃/15℃,无持续风向≤3级/无持续风向≤3级,晴,多云,30.0,15.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-15,beijing,多云/晴,26℃/13℃,无持续风向≤3级/无持续风向≤3级,多云,晴,26.0,13.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-16,beijing,晴/晴,28℃/14℃,南风3-4级/无持续风向≤3级,晴,晴,28.0,14.0,南风,无持续风向,3-4级,≤3级
2011-05-17,beijing,阴/阴,29℃/16℃,无持续风向≤3级/无持续风向≤3级,阴,阴,29.0,16.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-18,beijing,雷阵雨/阴,31℃/17℃,无持续风向≤3级/北风4-5级,雷阵雨,阴,31.0,17.0,无持续风向,北风,≤3级,4-5级
2011-05-19,beijing,晴/阴,25℃/16℃,无持续风向≤3级/无持续风向≤3级,晴,阴,25.0,16.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-20,beijing,多云/多云,23℃/13℃,无持续风向≤3级/无持续风向≤3级,多云,多云,23.0,13.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-21,beijing,晴/晴,26℃/12℃,北风3-4级/无持续风向≤3级,晴,晴,26.0,12.0,北风,无持续风向,3-4级,≤3级
2011-05-22,beijing,晴/晴,29℃/15℃,无持续风向≤3级/无持续风向≤3级,晴,晴,29.0,15.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-23,beijing,晴/晴,31℃/16℃,南风3-4级/无持续风向≤3级,晴,晴,31.0,16.0,南风,无持续风向,3-4级,≤3级
2011-05-24,beijing,晴/多云,28℃/18℃,南风3-4级/无持续风向≤3级,晴,多云,28.0,18.0,南风,无持续风向,3-4级,≤3级
2011-05-25,beijing,多云/多云,27℃/18℃,南风3-4级/无持续风向≤3级,多云,多云,27.0,18.0,南风,无持续风向,3-4级,≤3级
2011-05-26,beijing,阵雨/阵雨,28℃/16℃,无持续风向≤3级/无持续风向≤3级,阵雨,阵雨,28.0,16.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-27,beijing,晴/晴,29℃/18℃,无持续风向≤3级/无持续风向≤3级,晴,晴,29.0,18.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-28,beijing,晴/多云,33℃/21℃,南风3-4级/无持续风向≤3级,晴,多云,33.0,21.0,南风,无持续风向,3-4级,≤3级
2011-05-29,beijing,雷阵雨/雷阵雨,28℃/17℃,无持续风向≤3级/无持续风向≤3级,雷阵雨,雷阵雨,28.0,17.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-30,beijing,多云/晴,30℃/19℃,无持续风向≤3级/无持续风向≤3级,多云,晴,30.0,19.0,无持续风向,无持续风向,≤3级,≤3级
2011-05-31,beijing,多云/多云,29℃/18℃,北风3-4级/无持续风向≤3级,多云,多云,29.0,18.0,北风,无持续风向,3-4级,≤3级
2011-06-01,beijing,晴/晴,32℃/19℃,无持续风向≤3级/无持续风向≤3级,晴,晴,32.0,19.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-02,beijing,多云/阴,35℃/22℃,无持续风向≤3级/无持续风向≤3级,多云,阴,35.0,22.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-03,beijing,晴/晴,33℃/20℃,无持续风向≤3级/无持续风向≤3级,晴,晴,33.0,20.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-04,beijing,多云/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级,多云,晴,31.0,21.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-05,beijing,阴/雷阵雨,33℃/22℃,无持续风向≤3级/无持续风向≤3级,阴,雷阵雨,33.0,22.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-06,beijing,雷阵雨/多云,33℃/20℃,无持续风向≤3级/无持续风向≤3级,雷阵雨,多云,33.0,20.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-07,beijing,多云/雷阵雨,36℃/21℃,无持续风向≤3级/无持续风向≤3级,多云,雷阵雨,36.0,21.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-08,beijing,多云/晴,34℃/21℃,无持续风向≤3级/无持续风向≤3级,多云,晴,34.0,21.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-09,beijing,多云/多云,34℃/22℃,无持续风向≤3级/无持续风向≤3级,多云,多云,34.0,22.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-10,beijing,雷阵雨/雷阵雨,31℃/18℃,无持续风向≤3级/无持续风向≤3级,雷阵雨,雷阵雨,31.0,18.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-11,beijing,雷阵雨/多云,29℃/18℃,无持续风向≤3级/无持续风向≤3级,雷阵雨,多云,29.0,18.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-12,beijing,晴/晴,35℃/20℃,无持续风向≤3级/无持续风向≤3级,晴,晴,35.0,20.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-13,beijing,晴/多云,35℃/21℃,无持续风向≤3级/无持续风向≤3级,晴,多云,35.0,21.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-14,beijing,多云/多云,33℃/23℃,无持续风向≤3级/无持续风向≤3级,多云,多云,33.0,23.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-15,beijing,雷阵雨/中雨,32℃/19℃,无持续风向≤3级/无持续风向≤3级,雷阵雨,中雨,32.0,19.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-16,beijing,雷阵雨/雷阵雨,27℃/19℃,无持续风向≤3级/无持续风向≤3级,雷阵雨,雷阵雨,27.0,19.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-17,beijing,阴/多云,29℃/21℃,无持续风向≤3级/无持续风向≤3级,阴,多云,29.0,21.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-18,beijing,晴/晴,33℃/22℃,无持续风向≤3级/无持续风向≤3级,晴,晴,33.0,22.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-19,beijing,晴/晴,34℃/22℃,无持续风向≤3级/无持续风向≤3级,晴,晴,34.0,22.0,无持续风向,无持续风向,≤3级,≤3级
2011-06-20,beijing,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级,多云,多云,34.0,23.0,无持续风向,无持续风向,≤3级,≤3级
